created_at,text
2021-12-04 11:55:36,"RT @NCTsmtown: WayV 威神V 'Miracle' Track Video

〖 NCT The 3rd Album ‘Universe’
➫ 2021.12.14 〗

#WayV #Miracle
#NCT #Universe https://t.co/nM…"
2021-12-04 11:55:36,"RT @NCTsmtown: WayV 威神V 'Miracle' Track Video

〖 NCT The 3rd Album ‘Universe’
➫ 2021.12.14 〗

#WayV #Miracle
#NCT #Universe https://t.co/nM…"
2021-12-04 11:55:35,"RT @NCTsmtown: WayV 'Miracle'
Track Video Image Teaser #KUN

〖 NCT The 3rd Album ‘Universe’
➫ 2021.12.14 〗

#WayV #Miracle
#NCT #Universe h…"
2021-12-04 11:55:34,"RT @NCTsmtown: NCT DREAM 엔시티 드림 'Dreaming' Track Video

〖 NCT The 3rd Album ‘Universe’
➫ 2021.12.14 〗

#NCTDREAM #Dreaming
#NCT #Universe h…"
2021-12-04 11:55:32,"RT @NCTsmtown: WayV 威神V 'Miracle' Track Video

〖 NCT The 3rd Album ‘Universe’
➫ 2021.12.14 〗

#WayV #Miracle
#NCT #Universe https://t.co/nM…"
2021-12-04 11:55:32,"RT @NCTsmtown: WayV 'Miracle'
Track Video Image Teaser #TEN

〖 NCT The 3rd Album ‘Universe’
➫ 2021.12.14 〗

#WayV #Miracle
#NCT #Universe h…"
2021-12-04 11:55:32,"RT @rvcjmovies: Power Rangers 🔥

#powerrangers #netflix #heroes #universe #movies #rvcjmovies https://t.co/0MBj25lFE4"
2021-12-04 11:55:29,"RT @NCTsmtown: WayV 'Miracle'
Track Video Image Teaser #XIAOJUN

〖 NCT The 3rd Album ‘Universe’
➫ 2021.12.14 〗

#WayV #Miracle
#NCT #Univer…"
2021-12-04 11:55:26,"RT @NCTsmtown: WayV 'Miracle'
Track Video Image Teaser #HENDERY

〖 NCT The 3rd Album ‘Universe’
➫ 2021.12.14 〗

#WayV #Miracle
#NCT #Univer…"
2021-12-04 11:55:25,"RT @NCTsmtown: WayV 'Miracle'
Track Video Image Teaser 

〖 NCT The 3rd Album ‘Universe’
➫ 2021.12.14 〗

#WayV #Miracle
#NCT #Universe https…"
2021-12-04 11:55:22,"RT @NCTsmtown: WayV 'Miracle'
Track Video Image Teaser #YANGYANG

〖 NCT The 3rd Album ‘Universe’
➫ 2021.12.14 〗

#WayV #Miracle
#NCT #Unive…"
2021-12-04 11:55:22,"RT @NCTsmtown: WayV 威神V 'Miracle' Track Video

〖 NCT The 3rd Album ‘Universe’
➫ 2021.12.14 〗

#WayV #Miracle
#NCT #Universe https://t.co/nM…"
2021-12-04 11:55:21,"RT @NCTsmtown: WayV 'Miracle'
Track Video Image Teaser #XIAOJUN

〖 NCT The 3rd Album ‘Universe’
➫ 2021.12.14 〗

#WayV #Miracle
#NCT #Univer…"
2021-12-04 11:55:19,"RT @NCTsmtown: WayV 威神V 'Miracle' Track Video

〖 NCT The 3rd Album ‘Universe’
➫ 2021.12.14 〗

#WayV #Miracle
#NCT #Universe https://t.co/nM…"
